content,contentTranslation,languageInEnglish,preprocessed,translated,detected_lang,detected_conf
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin/Greek,,,,
C(aius) Ostius (:Hostius),"Gaius Hostius (here, pronounced Ostius)",Latin,caius hostius,the enemy,,
"eribus (:heribus) miscella
",a mish-mash,Latin,"heribus miscella, ",yesterday's mix,,
Hic amor sapiet,Here love will be wise,Latin,hic amor sapiet,this love will be wise,,
Quid,What,Latin,quid,what,,
Eueno,to Euenus(?),Latin,eueno,even,,
N&#803;icanor ovas&#818;,Nicanor (...?),Latin,ṇicanor ovas̲,I eat eggs,,
MAL,M(arcus) A(---) L(---?),Latin,mal,evil,,
CLXX,170,Latin,clxx,120,,
Q(uintus) ++++++++,Quintus (...other text illegible),Latin,quintus ,The fifth,,
[---] DIII VII,(series of letters),Latin,din diii vii,din of the gods vii,,
"R&#818;
P&#818;a&#818;r&#818;i&#818;s&#818;
a&#818;mas&#818;","R(?). Paris, you love",Latin,"r̲, p̲a̲r̲i̲s̲, a̲mas̲","r̲, p̲a̲r̲i̲s̲, a̲mas̲",,
"&#7948;&#961;&#964;&#959;&#962;
((signum incertum))
MME",Cake (or loaf of bread). (symbol). MME.,Latin,"ἄρτος, signum incertum, mme","ἄρτος, an uncertain sign, mme",,
Bucolus,Bucolus,Latin,bucolus,bucolus,,
"f&#803;eliter (:feliciter)
((:FELICITER in forma navis scriptum))",Good luck!,Latin,"f̣feliciter, feliciter in forma navis scriptum","happily, happily written in the form of a ship",,
HIMME,(untranslateable series of letters),Latin,himme,him,,
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin/Greek,,,,
"V Bombycion (:&#914;&#959;&#956;&#946;&#973;&#954;&#953;&#959;&#957;)
fellat",Bombycion sucks,Latin/Greek,"v bombycion βομβύκιον, fellat",,,
"Fuibus (:Phoebus)
egrotes (:aegrotes)",Phoebus - May you fall ill.,Latin,"phoebus, aegrotes","phoebus, sick",,
IIIIIII,7,Latin,iiiiiii,iiiiii,,
"Charca miam (:meam?), Sira (:Syra?)",(unknown meaning),Latin,"charca meam, syra","my tank, sira",,
"Silentiolus
((:nomen SILENTIOLUS in forma navis scriptum))",Silentiolus,Latin,"silentiolus, nomen silentiolus in forma navis scriptum","silentiolus, the name silentiolus written in the form of a ship",,
"Septembr(es)
III idus pro tunica ((denarius)) I a(sses) VIII","On the third day before the Ides of September, (I spent) one denarius and eight asses for a tunic.",Latin,"septembres, iii idus pro tunica denarius i asses viii","septembres, iii day for a coat, 1 penny, 8 asses",,
"Duo sodales hic fuerunt, et, cum diu malum
ministrum in omnia haberent
nomine Epaphroditum, vix tarde
eum foras exigerunt (:exegerunt).
Consumpserunt persuavissime cum fu`tu´ere ((sestertii)) CVS","Two friends were here, and they had a servant named Epaphroditus who was terrible at everything for the whole time, so they finally kicked him out. (Then?) they spent 105 1/2 sestertii most delightfully when they had sex.",Latin,"duo sodales hic fuerunt, et, cum diu malum, ministrum in omnia haberent, nomine epaphroditum, vix tarde, eum foras exegerunt., consumpserunt persuavissime cum fu`tu´ere sestertii cvs","There were two members here, and when they had been ill for a long time, they had a minister in all things, named Epaphroditus;",,
ILASV (:Hilarus?),Hilarus,Latin,hilarus,cheerful,,
"Mortus (:Mortuus)
Sumpo(rus) (:Symphorus)",Symphorus is dead,Latin,"mortuus, sumporus symphorus","a dead, sumptuous symphorus",,
omnibus Salinensi v[---],To all the Salinenses...,Latin,omnibus salinensi v.,to all the saltines v.,,
"Phyl va(le) 
","Goodbye, Phyllis.",Latin,"phyl vale , ",goodbye son,,
Q(uintus) M[---]ANTV[---],fifth m.antv,Latin,quintus m.antv.,fifth m.antv,,
A&#818;B&#818;CDEF&#818;G&#818;H&#818;I&#818;K&#818;,(Beginning of an alphabet),Latin,a̲b̲cdef̲g̲h̲i̲k̲,a̲b̲cdef̲g̲h̲i̲k̲,,
"XVII k(alendas), X k(alendas), VII id(us)","17 days before the Kalends, 10 days before the Kalends, 7 days before the Ides",Latin,"xvii kalendas, x kalendas, vii idus","17th calendar, 10th calendar, 7th day",,
Mus,Mus (personal name) OR mouse,Latin,mus,mouse,,
Echio · va(le),"Goodbye, Echio.",Latin,echio · vale,goodbye,,
Romu(lus),Romu(lus?),Latin,romulus,Romulus,,
[---]at veniat,...let him/her come.,Latin,'at veniat,let him come,,
"va(le?)
[---]rio [I?]sidoru
IX
((:viri caput))
",Greetings . . . to Isidorus(?). 9,Latin,"vale, ripario isidoru, ix, viri caput, ","Farewell to Isidore the river, ix, the head of a man,",,
"AM
Surus
Ianua va(le)","Am(andus?), Surus: farewell Ianua(rius?).",Latin,"am, surus, ianua vale",Goodbye to the door,,
XI k(alendas) Febarias (:Februarias),The 11th day before the Kalends of February.,Latin,xi kalendas februarias,February 11,,
"C(aius) Iunius
((:nomen C(AIUS) IUNIUS in forma navis scriptum))",Gaius Iunius,Latin,"caius iunius, nomen caius iunius in forma navis scriptum","Caius Junius, the name of Caius Junius written in the form of a ship",,
GENT[--]RR[---],(series of letters),Latin,gentrr.,Gentr.,,
IIII P(ublius) Quin(tilius?),4 Publius Quin(tilius?),Latin,iiii publius quintilius,iii public quintile,,
I,1,Latin,i,i,,
[A]ve Fausta s(alutem),"Greetings, Fausta!",Latin,ave fausta salutem,happy bird greetings,,
I&#768;n curia {Aus} Augustiana,in the Augustan court,Latin,ìn curia {aus} augustiana,in the Augustan court,,
"Iulaiam (:Iuliam?)
ad dom","To Julia, mistress",Latin,"iuliam, ad dom","Julia, to dom",,
XI,11,Latin,xi,xi,,
"CELE
&#12296;:textus non legitur&#12297;",(Incomprehensible series of characters),Latin,"cele, ",hide,,
Mode&#818;r&#818;atus&#818;,Moderatus,Latin,mode̲r̲atus̲,mode̲r̲atus̲,,
NO,NO,Latin,no,no,,
LXXII,72,Latin,lxxii,lxxii,,
Cunei,Wedges,Latin,cunei,wedge,,
M,m,Latin,m,m,,
IVIIRIIHIIRI,(untranslateable series of letters),Latin,iviiriihiiri,iviiiiiiiiiri,,
Albinus,Albinus,Latin,albinus,albino,,
CVEN,to whom in . . .,Latin,cven,hundred,,
"CELES (?)
COSSSIIIIII",(... other letters here...) Cossutius(?),Latin,"celes , cosssiiiiii","celes, cosssiiiiii",,
"Vitalio
p&#818;e&#818;dica ut comatus&#818;
Urosacula&#818;
Suu&#818;r&#818;us (:Syrus?)
Fo&#818;l&#818;i&#818;a&#818;t&#818;u&#818;s&#818;",Vitalio... (more confusing text here).,Latin,"vitalio, p̲e̲dica ut comatus̲, urosacula̲, suu̲r̲syrus, fo̲l̲i̲a̲t̲u̲s̲","vital, p̲e̲dicate as hairy̲, urosacula̲, suu̲r̲syrus, fo̲l̲i̲a̲t̲u̲s̲",,
"&#12296;:ad perpendiculum&#12297;
Numini",For the numen (divine will).,Latin,", numini",", the gods",,
IANV,Ianu(arius?),Latin,ianv,January,,
VERIII,Verus(?),Latin,veriii,spring,,
XVII,17,Latin,xvii,xvii,,
Mercurius,Mercurius,Latin,mercurius,mercury,,
"Assis IIIIHIINII
CCCXXX",Coins (...series of characters) / 330,Latin,"assis iiiihiinii, cccxxx","assis iiiihiinii, cccxxx",,
"[- - -]o
[- - -]foro",... (in the) forum (?),Latin,"capitolio, inforo","the capitol, the entrance",,
XXVIIII,29,Latin,xxviiii,xxviii,,
Fatuus,Idiot,Latin,fatuus,stupid,,
"Hyacinthus hic fu&#818;i&#818;t&#818;
Verginiam s&#818;u&#818;a&#818;m&#818;","Hyacinthus was here, his Verginia...",Latin,"hyacinthus hic fu̲i̲t̲, verginiam s̲u̲a̲m̲","blue here fu̲i̲t̲, virginity s̲u̲a̲m̲",,
"Croca&#818;l&#803;e
barbat&#818;a&#818;",Bearded Crocale,Latin,"croca̲ḷe, barbat̲a̲","croca̲ḷe, barbat̲a̲",,
"ROM
&#12296;:vacat&#12297;
R","Rom(ulus?), or Rom(a?)",Latin,"rom, , r","rom, , r",,
[---]N · LA,(series of letters),Latin,claudian · la,claudian · la,,
"Extan[+1?+] pisu
[- - -]QVATVS ne
quinque
",There exist (...other letters here...) ...fourth(?) not five,Latin,"extan1 pisu, torqvatvs ne, quinque, ","extan1 pisu, torqvatvs ne, five,",,
"[+1?+]anthi
trama
p(ondo) IX
stame(n)
p(ondo) VII
VIII","Cloth for (literally of) Xanthus: weft - 9 (units by weight), warp - 7 (units), 8",Latin,"1anthi, trama, pondo ix, stamen, pondo vii, viii","1 anthi, weft, weighing 9, warp, weighing 7, 8",,
S IIIII,S 5,Latin,s iiiii,s iii,,
TVS lusor,"(Ius)tus, the game player",Latin,tvs lusor,tvs player,,
IINIIDII (:c&#803;inaede),Pervert!,Latin,iiniidii c̣inaede,iiniidii c̣inaede,,
XXXIXXVVV,(Series of numbers),Latin,xxxixxvvv,xxxixvvv,,
"Silentiolus
((:nomen SILENTIOLUS in forma navis scriptum))",Silentiolus,Latin,"silentiolus, nomen silentiolus in forma navis scriptum","silentiolus, the name silentiolus written in the form of a ship",,
Vivaniu&#818;s&#803; At&#803;er u&#803;b&#803;i&#803;que,Vivanius Ater everywhere,Latin,vivaniu̲ṣ aṭer ụḅịque,vivaniu̲ṣ aṭer ụḅịque,,
Modesti,of Modestus,Latin,modesti,modest,,
"Sabin(a)
Sabina","Sabina, Sabina",Latin,"sabina, sabina","sabina, sabina",,
K(alends) III Iulias,Three days before the Kalends of July,Latin,kalends iii iulias,Kalends iii julias,,
Soli,Alone...,Latin,soli,alone,,
"Vinum acceptum
ab domino VII Idus Apriles",Wine (was) received from the master seven days before the Ides of April.,Latin,"vinum acceptum, ab domino vii idus apriles",wine received from the master on the 6th of April,,
CAI,"Gaius!  (vocative... or abbreviated nominative, or set of initials)",Latin,cai,cai,,
AL&#803;S&#803;,A(ulus) L(---) S(---?),Latin,aḷṣ,aḷṣ,,
"&#12296;:ad perpendiculum&#12297;
Rare lali omnes a","Infrequently, all the lullabies(?)...",Latin,", rare lali omnes a",", rarely lali all a",,
Saco(mata?) XX,Counterweights(?) 20,Latin,sacomata xx,sacomata xx,,
"Ocaeanus (:Oceanus)
&#969;",(...) Oceanus,Latin/Greek,"oceanus, ω",,,
Myrine mari,Myrine to the sea (?),Latin,myrine mari,myrrh of the sea,,
"Venimus,
venimus
hoc cupidi,
multo magis ire cupimus.","We came! We came here desiring, much more do we desire to go",Latin,"venimus,, venimus, hoc cupidi,, multo magis ire cupimus.","we have come, we have come, we are eager for this, we want to go much more.",,
POLY,Poly(bius?),Latin,poly,poly,,
"&#12296;:columna I&#12297;
C&#932;&#929;&#913;=
&#932;&#927;&#925;&#921;=
&#922;&#927;C (:&#931;&#964;&#961;&#945;&#964;&#972;&#957;&#953;&#954;&#959;&#962;)

&#12296;:columna II&#12297;
Stra=
tonicos (:Stratonicus)
scrips(it)",,Latin/Greek,", cτρα=, τονι=, κοc στρατόνικος, , , stra=, stratonicus, scripsit",,,
Augu,(Something about augury or the emperor?),Latin,augu,I advertise,,
VIII k(alendas) Iulias,Eight days before the Kalends of July,Latin,viii kalendas iulias,8th July,,
Va(le) va(le),"Goodbye, goodbye",Latin,vale vale,bye bye,,
"Se(xtus) Porcius
s s",Se(xtus) Porcius / s s,Latin,"sextus porcius, s s","sixth porcius, s s",,
Debere,must,Latin,debere,must,,
AB,,Latin/Greek,ab,,,
&#928;&#961;&#972;&#954;&#955;&#945;,Πρόκλα,Latin/Greek,πρόκλα,,,
Phlavia (:Flavia) &#920;&#818; l&#818;i&#818;g&#818;i&#818;s&#818; (:lingis),Flavia (other letters here),Latin/Greek,flavia θ̲ l̲i̲g̲i̲s̲ lingis,,,
XX IIIIIIIII,20 9,Latin,xx iiiiiiiii,xx iiiiiiiii,,
Onesimus,Onesimus,Latin,onesimus,we are one,,
"A(ulus) Tati(us?)
[- - -]p&#818;r&#818;ius",Aulus Tati(us) (...other letters here...),Latin,"aulus tatius, cosp̲r̲ius","aulus tastier, cosp̲r̲ius",,
Vidimus,We saw,Latin,vidimus,we saw,,
Alica,Porridge,Latin,alica,alica,,
Vasa,Vase,Latin,vasa,vessels,,
Felices,Lucky ones,Latin,felices,happy,,
Ara,Altar,Latin,ara,ara,,
VII a(sses) III,7 asses (coins). 3,Latin,vii asses iii,vii asses iii,,
IIIIIIIIIIIIIII,15,Latin,iiiiiiiiiiiiiii,iiiiiiiiiiiiiii,,
AXBVCD,axbvcd,Latin,axbvcd,axbvcd,,
"Omnes
XXXI","All of them, 31",Latin,"omnes, xxxi","all, xxx",,
V&#770;ale Procam&#770;u (:Procame),"Goodbye, Procamus",Latin,v̂ale procam̂procame,"Come on, come on",,
P S edituis (:aedituus),P S   For the temple-attendants(?),Latin,p s aedituus,p.s,,
[- - - d]ece[mbr?- - -],(D)ece(mber?),Latin,  decembr ,December,,
Lasius cinedus (:cinaedus),Lasius is a pervert.,Latin,lasius cinaedus,lasius cinaedus,,
PR XXX CV[+]XXX,Price: 30   Cu(?): 30,Latin,pr xxx cvxxx,pr xxx cvxxx,,
L(uci) Aviani votus (:votum),"A vow (literally, something vowed) of Lucius Avianus",Latin,luci aviani votum,the wish of the avian light,,
"Exemta (:exempta)
stecora (:stercora)
a(ssibus) XI",Dung removed for 11 asses (coins),Latin,"exempta, stercora, assibus xi","exempt, dung, taxes xi",,
"Asas n(umero) LXI ·
Anaticulas · n(umero) · CXXVI",Handles (geese?) - 59. Ducklings - 126.,Latin,"asas numero lxi ·, anaticulas · numero · cxxvi","ducks in number lxi, ducklings in number cxxvi",,
"Vinum a(sses) III
Quatusui++I VIII
Nig[---] ((denarius)) V s(emis)
Capitoni
Nigro ((denarius)) V
Nig[---]","wine asses iii, quatusuii viii, black denarius v semis, capitoni, black denarius v, black",Latin,"vinum asses iii, quatusuii viii, nig denarius v semis, capitoni, nigro denarius v, nig.","wine asses iii, quatusuii viii, black denarius v semis, capitoni, black denarius v, black",,
Quant(?),How much?,Latin,quant,quant,,
Amata&#803;,Amata,Latin,amatạ,beloved,,
"[- - -] socio F[---]
[- - -]AL",(...) with a friend (...),Latin,"pro socio f., rival","for partner f., rival",,
Marcus,Marcus,Latin,marcus,mark,,
MAM,Mam(ius?),Latin,mam,mom,,
"Proculus
((:herma viri))
",Proculus,Latin,"proculus, herma viri, ","proculus, man's coat,",,
XI,11,Latin,xi,xi,,
Mus nequa(m),Mus never(?),Latin,mus nequam,a wicked mouse,,
IIIIIIIIIII,11,Latin,iiiiiiiiiii,iiiiiiiiiiii,,
"Stirisc[us? - - -]
[- - - M]oschus Noeto",Stirisc(us?...) /  (M)oschus to Noetus,Latin,"stiriscus  ,  moschus noeto","Styriscus, musk noeto",,
SAB,Sab(inus?) (or Sabina?),Latin,sab,saturday,,
C C ego,C. C. I (myself)....,Latin,c c ego,c c I,,
"&#12296;:ad perpendiculum&#12297;
Iuvari",To be helped,Latin,", iuvari",", to be helped",,
Prigenio (:Primigenio?) s(alutem),Hello to Primigenius.,Latin,primigenio salutem,original greetings,,
P(ublius) Septumius,Publius Septumius,Latin,publius septumius,a more public septum,,
Q(uintus) [-] LA,Q(uintus) La(elius?),Latin,quintus la,fifth la,,
((mille)) ((mille)),1000 1000,Latin,mille mille,a thousand thousand,,
"A Epicurus 
si es Utica","A(ulus?) Epicurus, if you are at Utica . . .",Latin,"a epicurus , si es utica","from Epicurus, if you are a Utica",,
METI,Metienus(?) OR Mettius(?),Latin,meti,I measured,,
Chie IMN,"Chius, (...other letters here...)",Latin,chie imn,chie hymn,,
Algemus,We are cold.,Latin,algemus,let's hang,,
Quis d,Who...,Latin,quis d,who d,,
"Cereales sint Cums (:Cumis)
",Cerialis and Cerialis might be at Cumae.,Latin,"cereales sint cumis, ",let them be cereals,,
CEN,(series of letters),Latin,cen,cent,,
"Apelles cubicularius
cum Dextro Caesar(is)
pranderunt hic
iucundissime et
future simul.","Apelles, the bedroom attendant, with Dexter, (slave) of Caesar, ate lunch here most agreeably and also had sex.",Latin,"apelles cubicularius, cum dextro caesaris, pranderunt hic, iucundissime et, future simul.","Apelles, the chamberlain, with Caesar's right hand, dined here very pleasantly, and they will come together.",,
Severus,Severus,Latin,severus,severe,,
ON,on,Latin,on,on,,
SA,SA,Latin,sa,sa,,
"Centurio
centonem non habet 
cen(---?)",The centurion does not have a blanket (...),Latin,"centurio, centonem non habet , cen","a centurion, he has no centon, cen",,
Anicete va(le),"Goodbye, Anicetus",Latin,anicete vale,good bye,,
Secundus quo Hectic [+10?+ plu]rimam salutem,"Secundus, from whom Hectic(...?) many greetings.",Latin,secundus quo hectic 10 plurimam salutem,the second which is hectic 10 the most salutary,,
IIII,4,Latin,iiii,iii,,
Ad Ner[---],To Nero (?),Latin,ad ner.,to ner,,
Q(uintus)  M[---] Antu[s ---],Quintus M(---) Antu(s--?),Latin,quintus m. antus ,fifth m. before,,
"K(alendas) Aug&#803;(ustas)
Nonas&#803; A&#818;p&#818;r&#818;(ilis)
At&#818;i&#818;n&#818;a&#818;s&#818;","Kalends of August, Nones of April at Atina.",Latin,"kalendas aug̣ustas, nonaṣ a̲p̲r̲ilis, at̲i̲n̲a̲s̲","august calendars, nonaṣ a̲p̲r̲ilis, at̲i̲n̲a̲s̲",,
"Qunei (:cunei) XXIII
Asseres XV",23 wedges. 15 poles.,Latin,"cunei xxiii, asseres xv","wedge xxiii, assert xv",,
Urban(e) v&#770;a(le),"Goodbye, Urbanus",Latin,urbane v̂ale,be polite,,
Urso,To the bear,Latin,urso,bear,,
"Artorius 
[- - -]IIIII II III",Artorius. 5 2 3,Latin,"artorius , iiiiiiii ii iii","artorius, iiiiiiii ii iii",,
Ti(berius) Claud(ius),Tiberius Claudius,Latin,tiberius claudius,tiberius clumsy,,
A(ulus) Memm(ius),Aulus Memm(ius),Latin,aulus memmius,aus memmier,,
"Maior va(le)
Maior va(le)
OMCA VIII","Goodbye, Maior. Goodbye, Maior. (...more text here...)",Latin,"maior vale, maior vale, omca viii","greater farewell, greater farewell, omca viii",,
"Mamium(:Mammium) Anicetum
rogamus guria(:curia) Augustiana","mamiummammium aniseed, we ask the Augustan curiacuria",Latin,"mamiummammium anicetum, rogamus guriacuria augustiana","mamiummammium aniseed, we ask the Augustan curiacuria",,
"Lollian(us)
Euodus(:Euhodus)</span>,
Priscus,
Musicus,
5 Atimetus,
[Am?]p&#803;e&#803;lus,
[---]c&#803;c&#803;us,
G&#818;l&#818;aucus,
C&#818;o&#818;mmuni&#818;s&#818;","Lollianus, Euoduseuhodus, ancient, musician",Latin,"lollianus, euoduseuhodus,, priscus,, musicus,, 5 atimetus,, amp̣ẹlus,, ,c̣c̣us,, g̲l̲aucus,, c̲o̲mmuni̲s̲","Lollianus, Euoduseuhodus, ancient, musician",,
"Qui · se tutari · nescit · nescit · vivere
Minimum · malu (:malum) · fit contemnendo · maximum","He who does not know to guard himself does not know how to live. The tiniest trouble, if ignored, becomes tremendous (i.e. the smallest evil becomes the greatest).",Latin,"qui · se tutari · nescit · nescit · vivere, minimum · malum · fit contemnendo · maximum","he who does not know how to protect himself does not know how to live, the least evil is done by despising the greatest",,
M&#770;ansi solus x (:ex) s(enatus) c(onsulto),I remained alone by decree of the senate,Latin,m̂ansi solus ex senatus consulto,I left the senate alone with counsel,,
"Hic situs
Suellius",Suellius is located here.,Latin,"hic situs, suellius",This site is more familiar,,
"Saturnina[e]
matr(i) uncus
a(ssibus) III
","For Saturnina, a mother, a hook that costs three asses (coins).",Latin,"saturninae, matri uncus, assibus iii, ","saturnina, mother's cup, 3 aces,",,
IIIIIIIIIIIIIIIIIIIIIIIIIIIIII,30,Latin,iiiiiiiiiiiiiiiiiiiiiiiiiiiiii,iiiiiiiiiiiiiiiiiiiiiiiiiiiiii,,
"[---]lius CINT &#12296;:vacat&#12297; genius suae sal(utem) 
[---]CIN N AGIO GORC R",[---]lius sends greetings to his (girlfriend?). (...other letters here...),Latin,"comelius cint genius suae salutem , 1cin n agio gorc r","comelius cint genius of his salvation, 1cin n agio gorc r",,
"SPI
Oceanus",Hope(?) / Oceanus,Latin,"spi, oceanus","spi, the ocean",,
suis P ave viban (:vivant),Greetings to his own (family? friends?). May they live...,Latin,suis p ave vivant,they live with their p ave,,
Ursi me comedant,Let the bears devour me.,Latin,ursi me comedant,let the bears eat me,,
M&#770;M&#770;M&#770;Mu&#818;s&#818;,MMMMus (personal name) OR MMMMouse,Latin,m̂m̂m̂mu̲s̲,m̂m̂m̂mu̲s̲,,
Est res INCOSID,The matter is in ...,Latin,est res incosid,it is a sudden thing,,
"((:circulus duplex)) IIIII
XX
XX
X",5 20 20 10,Latin,"circulus duplex iiiii, xx, xx, x","double circle iiiii, xx, xx, x",,
"Nuc (:nuces?) &#12296;:vacat&#12297; biber(es) XIIII (assibus)
Singa (:singula) III 
Panem III &#12296;:vacat&#12297; LI (assibus)
Orrellas (:ofellas) III &#12296;:vacat&#12297; XII (assibus)
Thymatla (:thymatula) IIII &#12296;:vacat&#12297; VIII (assibus)","nuts, drinks(?) - 14 (small coins, probably - this number appears to be the price);
pork rinds - 3;
three (loaves of) bread - 51; 
three cutlets - 12;
four thyme-flavored sausages - 8",Latin,"nuces biberes xiiii assibus, singula iii , panem iii li assibus, ofellas iii xii assibus, thymatula iiii viii assibus","nut drinks 13 bushels, each 3 , bread 3 li bushels, ofella 3 xii bushels, thyme iii viii bushels",,
((:phallus)),phallus,Latin,phallus,phallus,,
[---]bius,Vibius?,Latin,danubius,Danube,,
"IIIIIIIIIIIIIIIII
&#12296;:vacat&#12297; III",17 and 3,Latin,"iiiiiiiiiiiiiiiii, iii","iiiiiiiiiiiiiiiiii, iii",,
Cosmus cas(tus?),Chaste(?) Cosmus.,Latin,cosmus castus,chaste cosmos,,
PAPAVLIN,Paulin(us?),Latin,papavlin,papavlin,,
