content,apparatus,sourceFindSpot,contentTranslation,caption,writingStyleInEnglish,languageInEnglish,cil,citation,preciseLocation,italianPropertyName,numberOfGraffiti,propertyNumber,insula.shortName,insula.fullName,insula.city.name,insula.city.pleiadesId,englishPropertyName,additionalEntrances,propertyName,descriptionInEnglish,descriptionInLatin
"((:sex circuli quorum duo simplices et quattuor duplices sunt))
","Textus et mensurae secundum (1), contulerunt et mensuras prehenderunt Frampton, Hightower, Smith, Sypniewski, Weiss, et Wells a. 2014 (HGP). <br>HGP mensurae, alt.: 15,8<br>HGP mensurae, lat.: 61,4<br>","Ercolano (Napoli), Insula VI.1,7-10, Terme Centrali",,Drawing of circles,Graffito/incised,,,"AGP-EDR144356, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR144356&gt; [accessed: 27 Mar 2023]",,Terme Centrali,21,"1,7-10",VI,Insula VI,Herculaneum,432873,Central Baths,,Central Baths,"six circles, two single and four double",sex circuli quorum duo simplices et quattor duplices sunt
"((:gryllus feminae cum cornibus, unguibus, dentibus, et alis, falcem aut baculum tenentis))
","Textus et mensurae secundum (1). Contulerunt et mensuras prehenderunt Beall, Bey IV, McCrory, Opdenhoff, Tomasi, Zimmermann Damer (HGP) a. 2014.<br>HGP mensurae, alt.: 40,0<br>HGP mensurae, lat.: 26,5<br>Prope EDR144514 et EDR145032<br><br>","Ercolano (Napoli), Insula V.1, Casa Sannitica",,Drawing of a monster (?),Graffito/incised,,,"AGP-EDR145030, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR145030&gt; [accessed: 27 Mar 2023]",,Casa Sannitica,4,1,V,Insula V,Herculaneum,432873,Samnite House,2,Samnite House,"caricature of a woman with horns, claws, teeth, and wings, holding a scythe or staff","gryllus feminae cum cornibus, unguibus, dentibus, et alis, falcem aut baculum tenentis"
S(emis) C Y ((mille)) S(emis) S(emis),Textus et mensurae secundum (1); periit (2)<br>Contulerunt et non invenerunt DiBiasie-Sammons et Sypniewski (HGP) a. 2017.<br>Ibidem EDR153849,"Ercolano (Napoli), Insula Orientalis II.4, Palaestra",(Series of numbers?),Numerical graffito,Graffito/incised,Latin,10657,"AGP-EDR153850, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR153850&gt; [accessed: 27 Mar 2023]",,Palestra,6,4,InsulaOrientalisII,Insula Orientalis II,Herculaneum,432873,Palaestra,,Palaestra,,
REST ((:tres lineae aequae)),"Textus et mensurae secundum (2); periit. <br>Contulerunt sed non invenerunt Benefiel, Clikeman, Zimmermann Damer, Jepsen, MacDonald (HGP) a. 2016.<br>v. 1:  REST pro REST(ITVT. . .?) legitur apud (1). Quid ultimae lineae significant incertum est.","Ercolano (Napoli), Insula IV.21, Casa dei Cervi",Rest(itutus?),Beginning of a name (?),charcoal,Latin,10560,"AGP-EDR151865, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151865&gt; [accessed: 27 Mar 2023]",,Casa dei Cervi,24,21,IV,Insula IV,Herculaneum,432873,House of Stags,,House of the Stags,,
((:navis oneraria)),Textus et mensura secundum (1); contulerunt DiBiasie and Sypniewski (HGP) a. 2017.,"Ercolano (Napoli), Decumano Massimo, Arco Quadrifronte",,Drawing of a boat,Graffito/incised,,,"AGP-EDR159869, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR159869&gt; [accessed: 27 Mar 2023]","Decumano Massimo, Arco Quadrifronte",,0,0,Unknown,,Herculaneum,,,,Not found,cargo ship,navis oneraria
((:phallus)),"Textus secundum (1), periit (2)<br>Prope EDR140230","Ercolano (Napoli), Insula IV.15-16, Grande Taberna",,,Graffito/incised,,10535,"AGP-EDR163853, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR163853&gt; [accessed: 27 Mar 2023]",,Grande Taberna,22,15-16,IV,Insula IV,Herculaneum,432873,Grand Taberna,"12,13",Grand Taberna,,
"ABCDEFG&#803;H++[---]
ABC&#803;[---]",Textus secundum (1)<br>v. 1: ante H esse C potius quam G videtur (1),"Ercolano (Napoli), locus incertus",,,Graffito/incised,Latin,2521,"AGP-EDR159775, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR159775&gt; [accessed: 27 Mar 2023]",,,0,0,Unknown,,Herculaneum,,,,Not found,,
IIIIIIIIIIIIIIII,"Textus secundum (1)<br>Contulerunt Brewer, Helms, Maddy, Nyhuis (HGP) a. 2016<br>Prope EDR154445","Ercolano (Napoli), Insula Orientalis II.10, Bottega del Gemmario",16,Tally marks,Graffito/incised,Latin,10666d,"AGP-EDR154446, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR154446&gt; [accessed: 27 Mar 2023]",,Bottega del Gemmario,6,10,InsulaOrientalisII,Insula Orientalis II,Herculaneum,432873,Shop of the Gem-cutter,,Shop of the Gem-cutter,,
Echio va(le),"Textus secundum (1), periit (2)<br>Contulerunt et non invenerunt Frampton, Hightower, Smith, Sypniewski, Weiss (HGP) a. 2014.<br>v. 1: II scriptum pro E <br>Prope EDR156776","Ercolano (Napoli), Insula VI.1,7-10, Terme Centrali",Goodbye Echio.,Greetings to Echio,charcoal,Latin,10596,"AGP-EDR145936, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR145936&gt; [accessed: 27 Mar 2023]",,Terme Centrali,21,"1,7-10",VI,Insula VI,Herculaneum,432873,Central Baths,,Central Baths,,
S nequa(m),"Textus et mensurae secundum (1), periit (2).<br>Contulerunt et non invenerunt Helms et Loar (HGP) a. 2014 et a. 2016.<br>v. 1: II scriptum pro littera E<br>Prope EDR140258, EDR158101, EDR158102","Ercolano (Napoli), Insula III.11, Casa del Tramezzo di Legno",S never(?),Graffito,Graffito/incised,Latin,10498b,"AGP-EDR151800, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151800&gt; [accessed: 27 Mar 2023]",,Casa del Tramezzo di Legno,7,11,III,Insula III,Herculaneum,432873,House of the Wooden Screen/Partition,"4,6",House of the Wooden Screen/Partition,,
Ultas,Textus et mensurae secundum (1); periit (2)<br>Contulerunt et non invenerunt DiBiasie-Sammons et Sypniewski (HGP) a. 2017,"Ercolano (Napoli), Insula Orientalis II.4, Palaestra",The (women?) who have avenged (?),Graffito,Graffito/incised,Latin,10658,"AGP-EDR153851, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR153851&gt; [accessed: 27 Mar 2023]",,Palestra,6,4,InsulaOrientalisII,Insula Orientalis II,Herculaneum,432873,Palaestra,,Palaestra,,
"[F]usci Cilix
Cilix","Textus et mensurae secundum (1)<br>v. 1: lat.: 60,0; litt. alt.:8,0-9,0<br>v. 2: lat.: 10,0; litt. alt.:2,5<br>Ciprotti, apud (1), vestigia nonnulla vidit, quae ad hunc titulum pertinere poterant.<br><br>","Ercolano (Napoli), Terme Suburbane","Cilix, (slave) of Fuscus. Cilix.",Graffito naming Cilix,Graffito/incised,Latin,10681,"AGP-EDR154368, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR154368&gt; [accessed: 27 Mar 2023]",,Terme Suburbane,13,ow2,OutsideWalls,Outside Walls,Herculaneum,432873,Suburban Baths,,Suburban Baths,,
[---]ASV M umor[---],Textus secundum (1)<br>Ibidem EDR153853,"Ercolano (Napoli), Insula Orientalis II.4, Palaestra",(Other letters here...) moisture,Graffito,"cetera, gypso viridi",Latin,10661,"AGP-EDR153854, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR153854&gt; [accessed: 27 Mar 2023]",,Palestra,6,4,InsulaOrientalisII,Insula Orientalis II,Herculaneum,432873,Palaestra,,Palaestra,,
PA&#770;M,"Textus secundum (2), contulerunt et mensuras prehenderunt Brewer, Handloser, Helms, Maddy, Nyhuis (HGP) a. 2016. <br>HGP mensurae, alt.: 1,8<br>HGP mensurae, lat.: 2,5<br>HGP mensurae, litt. alt.: 1,1-1,4<br>Prope EDR140060","Ercolano (Napoli), Insula Orientalis I.2, Casa del Rilievo di Telefo",P(ublius) A(---) M(---?),Initials (?),Graffito/incised,Latin,10625b,"AGP-EDR140150, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR140150&gt; [accessed: 27 Mar 2023]",,Casa del Rilievo di Telefo,32,2,InsulaOrientalisI,Insula Orientalis I,Herculaneum,432873,House of the Telephus Relief,3,House of the Telephus Relief,,
Caetronius,"Textus et mensurae secundum (1). Periit (2).<br>Contulerunt et non invenerunt Loar, Dillard, King (HGP) a. 2016.<br>v. 1: II pro littera E scriptum<br>Prope EDR140978, EDR154373","Ercolano (Napoli), Rampa",Caetronius,Graffito naming Caetronius,Graffito/incised,Latin,10685,"AGP-EDR154372, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR154372&gt; [accessed: 27 Mar 2023]",,Rampa,24,ow1,OutsideWalls,Outside Walls,Herculaneum,432873,Ramp,,Ramp,,
ABCD,Textus et mensurae secundum (1)<br>v. 1: in exteriore insulae IV ubi decumano maximo cardo IV occurit (1),"Ercolano (Napoli), Decumano Massimo",(Beginning of an alphabet),Alphabet,Graffito/incised,Latin,10714,"AGP-EDR154592, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR154592&gt; [accessed: 27 Mar 2023]",Decumano Massimo,,0,0,Unknown,,Herculaneum,,,,Not found,,
"P(ublius) Arriûs
Spaerus",Textus secundum (3),"Ercolano (Napoli), Insula VI.21, So-called College of the Augustales (Curia)",,,Graffito/incised,Latin,,"AGP-EDR081347, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR081347&gt; [accessed: 27 Mar 2023]",,Sede degli Augustali,5,21,VI,Insula VI,Herculaneum,432873,So-called College of the Augustales (Curia),22-24,So-called College of the Augustales (Curia),,
C(aius) Messenius Eunomus im(:in) curia,Textus secundum (3),"Ercolano (Napoli), Insula VI.21, So-called College of the Augustales (Curia)",,,Graffito/incised,Latin,,"AGP-EDR081345, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR081345&gt; [accessed: 27 Mar 2023]",,Sede degli Augustali,5,21,VI,Insula VI,Herculaneum,432873,So-called College of the Augustales (Curia),22-24,So-called College of the Augustales (Curia),,
"Apollinaris medicus Ti&#768;ti&#768; Impe(ratoris) &#12296;:servus&#12297;
hic cacavit bene",Textus secundum (1),"Ercolano (Napoli), Insula Orientalis I.1, casa della Gemma, latrina","Apollinaris, doctor, slave of the emperor Titus, pooped well here",Graffito naming Apollinaris (doctor of the emperor),Graffito/incised,Latin,10619,"AGP-EDR073355, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR073355&gt; [accessed: 27 Mar 2023]",,Casa della Gemma,6,1,InsulaOrientalisI,Insula Orientalis I,Herculaneum,432873,House of the Gem,,House of the Gem,,
"Hermeros Prìmigeniae dominae:
venì Puteolos in vìco Tyaniano et quaere
a Messio numulario(:nummulario) Hermerotem Phoebì",Textus secundum (2),"Ercolano (Napoli), Terme Suburbane, ambiente di servizio presso l'ingresso","Hermeros to his mistress Primigenia: come to Puteoli in the Tyanian street and ask from Messius, the money lender, for Hermeros (slave) of Phoebus.",Graffito giving directions,Graffito/incised,Latin,10676,"AGP-EDR102191, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR102191&gt; [accessed: 27 Mar 2023]",,Terme Suburbane,13,ow2,OutsideWalls,Outside Walls,Herculaneum,432873,Suburban Baths,,Suburban Baths,,
"&#916;&#953;&#959;&#947;&#8051;&#957;&#951;&#962; &#8001; &#954;&#965;&#957;&#953;&#954;&#8056;&#962; &#966;&#953;&#955;&#8057;&#963;&#959;&#966;&#959;&#962;
&#7984;&#948;&#8060;&#957; &#947;&#965;&#957;&#945;&#8150;&#954;&#945; &#8017;&#960;&#8056; &#960;&#959;&#964;&#945;&#956;&#959;&#8166; &#966;&#949;=
&#961;&#959;&#956;&#8051;&#957;&#951;&#957;, &#949;&#7990;&#960;&#949;&#957;&#903; &#7940;&#966;&#949;&#962; &#966;&#8051;&#961;&#949;&#963;&#963;&#952;&#945;&#953;<span class='testo_nascosto'>(:&#966;&#8051;&#961;&#949;&#963;&#952;&#945;&#953;)</span>
&#964;&#8056; &#954;&#945;&#954;&#8988;&#8056;&#8989;&#957; &#8017;&#960;&#8056; &#954;&#945;`&#954;&#959;&#8166;´ &#922;&#921;&#933;&#931;.","Textus secundum (1), aliter (4) (7), contulit ad apographum R. De Vita a. 2011
 v. 3: φέρεσσθαι pro φέρεσθαι
v. 4: ΤΟΚΑΚΗΝ apographum; τὸ κάκιν (pro τὸ κάκιον) (7); ΥΠΟΚΑΚΟΥΚΙΥΣ apographum: ΚΟΥ supra a scriba additum ad κακιυς in κακοῦ corrigendum; ὑπὸ κακοῦ κακῶς (4). 
Prope EDR151835, EDR140205.","Ercolano (Napoli), Insula IV.15-16, sulla parete del vano n. 6 della cd. Grande Taberna","Diogenes the Cynic philospher, seeing a woman being carried off by the river, said: let the bad thing be carried away by the worse.",Graffito about Diogenes the Cynic philosopher,Graffito/incised,Greek,10529,"AGP-EDR112869, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR112869&gt; [accessed: 27 Mar 2023]",,Grande Taberna,22,15-16,IV,Insula IV,Herculaneum,432873,Grand Taberna,"12,13",Grand Taberna,,
"Cab=
inio (:&#931;&#945;&#946;&#943;&#957;&#953;&#959;)
S ((S retrogradum))","Textus secundum (2), mensurae secundum (1), periit (3).<br>Contulerunt sed non invenerunt Benefiel, Gibson, Hardy, Minnear, Smith, Sypniewski (HGP) a. 2016.<br>v. 1: CABINIO pro SABINIO scriptum<br>v. 3: Secunda littera S retrograda scripta est. Haec duo signa non litterae sed ornamenta videntur (2).<br>v. 1: lat.: 1,7; litt. alt.: 1,3-1,4<br>v. 2: lat.: 2,3; litt. alt. 0,8-1,2<br>v. 3: lat.: 1,5; litt. alt. 1,1<br>Prope EDR152962","Ercolano (Napoli), Insula VI.29, Casa dei Due Atri",Sabinio (Σαβινιο),Graffito naming Sabinio (Σαβινιο),Graffito/incised,Greek,10611,"AGP-EDR152931, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR152931&gt; [accessed: 27 Mar 2023]",,Casa dei Due Atri,9,29,VI,Insula VI,Herculaneum,432873,House of the Two Atria,28,House of the Two Atria,,
"Fo&#818;rtunatus · amat · Ampl&#818;i&#818;a&#818;nda (:Ampliandam).
Ianuarius · amat · Veneria (:Veneriam).
Rogamus · damna (:domina) · Venus
ut · nos · in · mente · h&#818;a&#818;bias (:habeas)
quod te · modo · introrgamus (:interrogamus)","Textus secundum (3), aliter (1)-(2); status litterarum a. 2016 (4)<br>Contulerunt et mensuras tituli totius prehenderunt Dillard, King, et Loar (HGP) a. 2016.<br>v. 1: PORTVNNVS (1), FORTVNATVS (3)    <br>v. 5: INTRORGAMUS vel INTIRORGAMUS (2)<br>vv. 2-5: II scriptum pro littera E<br>Mensurae secundum (2)<br>v. 1: lat.: 11; litt. alt.: 0,3-1,3 (1)<br>v. 2: lat.: 11,5; litt. alt.: 0,3-0,7 (1) <br>v. 3: lat.: 9,5; litt. alt.: 0,3-0,9 (1)<br>v. 4: lat.: 9,5; litt. alt.: 0,3-1,0 (1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <br>v. 5: lat.: 11,5; litt. alt.: 0,3-0,7<br>HGP mensurae, alt.: 7,0<br>HGP mensurae, lat.: 11,7<br>Prope EDR140979, EDR154429, EDR154430, EDR154431, EDR154432, EDR154433, EDR154434, EDR140980, EDR140982, EDR140986, EDR154537","Ercolano (Napoli), Rampa",Fortunatus loves Amplianda. Ianuarius loves Veneria. We ask mistress Venus that you keep us in mind (and also) that which we now ask of you.,Prayer to Venus,Graffito/incised,Latin,10697,"AGP-EDR140983, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR140983&gt; [accessed: 27 Mar 2023]",,Rampa,24,ow1,OutsideWalls,Outside Walls,Herculaneum,432873,Ramp,,Ramp,,
