content,contentTranslation,languageInEnglish,preprocessed,translated
" ζήθι
ΠΝ 
ζοή ","zithi, pn, zoi",Greek," ζήθι, πν, ζοή ","zithi, pn, zoi"
[---]ιοι̣ς ,ιοι̣s,Greek,ιοι̣ς ,ιοι̣s
"
 χρυσοῖ  δύο &#60;:textus non legitur&#62;
ματακαισω 
〚τ +〛
 δύο  χ(ρυσοῖ?)",", gold two, matakaiso,, two gold",Greek,", χρυσοῖ δύο, ματακαισω,, δύο χρυσοῖ",", gold two, matakaiso,, two gold"
"εὐτύχε̣ι̣
ΠΟΛΥΠΟΥ̣ ++","εὐτύχε̣ι̣, polypoụ",Greek,"εὐτύχε̣ι̣, πολυπου̣ ","εὐτύχε̣ι̣, polypoụ"
[---]ΓΒΑΒ ,gavv,Greek,γβαβ ,gavv
"[---]ν Φιλεῖνος̣ ΤΗ[---]
[---]ην  εἶπεν οφιλ[---]
[---] Ι̣ΛΕΙΠΟ +++++[---]","newlineν φιλεῖνος̣ at night, if he did not say ofil., the rest that",Greek,"newlineν φιλεῖνος̣ τηνυχτα, ανην εἶπεν οφιλ., το ι̣λειπο που","newlineν φιλεῖνος̣ at night, if he did not say ofil., the rest that"
" ἐμήσθη Χα̣[---]
 τῆς  καλῆς̣  κ̣υ̣λίας
 εὐτύχει Χαρίτων̣
 μετ̣ὰ Ὑιείνου"," “He remembered (e.g.) Charis the beautiful lady. Fare well, Chariton, with Hyginos.”",Greek," ἐμήσθη χα̣χ, τῆς καλῆς̣ κ̣υ̣λίας, εὐτύχει χαρίτων̣, μετ̣ὰ ὑιείνου",ᎢᎪᎢᎪᎢᎪᎢᎪᎢᎪᎡ
" ἐλάινος
 ὁ  πᾶσι  φί =
λητος
 ἐλάινε
 χαίροις
 πολλὰ̣
 ἀγαθώτατε","elainos, ó pási fi, letos, elaine, haiirois, plẶ̀, agathosatete",Greek," ἐλάινος, ὁ πᾶσι φί, λητος, ἐλάινε, χαίροις, πολλὰ̣, ἀγαθώτατε","elainos, ó pási fi, letos, elaine, haiirois, plẶ̀, agathosatete"
" εἰ  γνώμο =
νος  τόπος",“The place of the gnomon.”,Greek," εἰ γνώμο, νος τόπος","in opinion, no place"
"ΑΒΓΥΚΦΚ 
ΨΕΖΗΚ 
ΕΖ++Κ ","avgykfk, pzezik, ezk",Greek,"αβγυκφκ, ψεζηκ, εζκ ","avgykfk, pzezik, ezk"
"ΚΟ+ΤΗ 
ΤΟ++Ο̣ΥΔΙΝ 
 Ἀσίας̣  τύχη
〚+++[--]Ω[--]Σ〛
ΦΥΛΑΞΕΥ+ΟΖΥ 
ΓΟΚΑΜΕ̣+ΜΕ 
 τώπος (:τόπος)","hen, tọydin, ἀσίας̣ fortune,, fylaksevozy, gokamẹme, place place",Greek,"κοτη, τοο̣υδιν, ἀσίας̣ τύχη,, φυλαξευοζυ, γοκαμε̣με, τώπος τόπος","hen, tọydin, ἀσίας̣ fortune,, fylaksevozy, gokamẹme, place place"
"Εὐφροσύνη
Ὀνησίμου",“Euphrosyne daughter of Onesimos.”,Greek,"εὐφροσύνη, ὀνησίμου","cheerfulness, Ὀσιμου"
((:stella)),Stella,Greek,stella,Stella
" μῆλον
 ἡδονή
 λ̣ό̣γ̣[ος]
 [ὄνομα]
 ν̣ή̣σ̣α̣ς̣","μῆλον, ἡδονι, λ̣ό̣γ̣ος, ὄνομα, ν̣ή̣σ̣α̣σ̣",Greek," μῆλον, ἡδονή, λ̣ό̣γ̣ος, ὄνομα, ν̣ή̣σ̣α̣ς̣","μῆλον, ἡδονι, λ̣ό̣γ̣ος, ὄνομα, ν̣ή̣σ̣α̣σ̣"
" ἐξαπίνης ΕΥ++++++++Η 
 ὀφθαλμοῖς+++ &#60;:vacat&#62; Ε 
ΑΛΛΑ ΛΕΓ ̣
 πολλὰ Λ++++","ἐξαπινης εί, ὀφθαλμοῖς e, but say ̣, many l",Greek," ἐξαπίνης ευη, ὀφθαλμοῖς ε, αλλα λεγ ̣, πολλὰ λ","ἐξαπινης εί, ὀφθαλμοῖς e, but say ̣, many l"
"τω 
ρα ",tho,Greek,"τω, ρα ",tho
"Θεαγένης
 &#60;:vacat&#62;  νεικητ(ής)","“Theagenes, victor!”",Greek,"θεαγένης, νεικητής","theageni, actor"
ΚΩΝΤ̣Ρ̣,konṭṛ,Greek,κωντ̣ρ̣,konṭṛ
τ̣άφος ,“Burial” or “grave”,Greek,τ̣άφος ,grave
" &#60;:vacat&#62; AN
Α+ΡΑ+Α
ΜΕ+","an, araa, me",Greek," an, αραα, με","an, araa, me"
" Ἀσίας  π[ρ]ώ̣τοις
 Σαρδιαν̣ο̣ῖ̣ς̣
 οἷς  πᾶν  [κλ]έος
 ἐ̣στὶν  διὰ
 τοὺς  κυρί[ους]. ","“To the Sardians, first of Asia, to whom is all glory because of our lords.”",Greek," ἀσίας πρώ̣τοις, σαρδιαν̣ο̣ῖ̣ς̣, οἷς πᾶν κλέος, ἐ̣στὶν διὰ, τοὺς κυρίους. ","ἀσίας prộtois, sardiaṇọῖ̣̣ṣ, oἷs ᾶpan kleos, ἐ̣istὶn diὰ, the lords."
" &#60;:vacat&#62;  ΑΝΑΚΑΣ 
Α ΠΡΗΣ 
 &#60;:vacat&#62;  ΛΥΩ ","anakas, a pris, I solve",Greek," ανακας, α πρης, λυω ","anakas, a pris, I solve"
 ἐγὼ  ὁ  γ̣ρά̣φων +++++ς  εἰμί.,“I the writer am . . .”,Greek, ἐγὼ ὁ γ̣ρά̣φων ς εἰμί.,I am the writer.
Δι̣ο̣γένης,Diogenes,Greek,δι̣ο̣γένης,Diogenes
οβ ,ob,Greek,οβ ,ob
 ἔψυγμε,“I’ve been chilled.”,Greek, ἔψυγμε,we got cold
"οβ 
δ ","ob, d",Greek,"οβ, δ ","ob, d"
" ὁ  δεδω̣κ̣[ὼς]
 τὸ  πνεῦμ̣[α]
 &#60;:vacat&#62; +[---]",“The one who gave the spirit . . .”,Greek," ὁ δεδω̣κ̣ὼς, τὸ πνεῦμ̣α, pro","ὁ δεδω̣κ̣ὼς, τὸ πνεῦμα̣a, pro"
"ΝΑΕ σοι ΠΑ+ΛΙΚΕ+[---]
ΝΕΙΤΗ εισιν +++[---]
 &#60;:vacat&#62; ΜΕ+ΑΤΩ+[---]
+ΗΣΑΝ̣+[---]","Nae soi palikemu, neite esin two, meatoa, ihanạps",Greek,"ναε σοι παλικεμου, νειτη εισιν δυο, μεατωα, ησαν̣ψ","Nae soi palikemu, neite esin two, meatoa, ihanạps"
"++Τ+ΚΑΘΟΥΡΟΚΕΝ 
 &#60;:vacat&#62; ΤΕ ","tkathuroken, te",Greek,"τκαθουροκεν, τε ","tkathuroken, te"
"[---]+χην ἐκρ &#60;:textus non legitur&#62;
Α̣Π ","don't know, ạp",Greek,"χην ἐκρ, α̣π ","don't know, ạp"
" τικτομ̣έ =
νη  κατ̣ὰ
ΠΑ+ΣΤ++","tiktoṃe, nī kaṭὰ, past",Greek," τικτομ̣έ, νη κατ̣ὰ, παστ","tiktoṃe, nī kaṭὰ, past"
"[---]α 
[---]ντλ 
[---]+ατο ","a, dl, ato",Greek,"α, ντλ, ατο ","a, dl, ato"
"[----]+ΕΙΝ 
[----]+ΕΙΩ ","yes, yes",Greek,"ειν, ειω ","yes, yes"
[---]Μ̣ΟΣΕ ,ṃose,Greek,μ̣οσε ,ṃose
"
 ζήτημα
++ΝΙΕ+++
traces 
+ΑΡ++++++
++ΔΩ̣++++++
 ζ̣ήτημ̣α̣++++
+Τ+++++Α 
++Ν++++ΤΙ̣Α̣
ΕΧ̣++++Ο̣Ν̣+",issue,Greek,", ζήτημα, νιε, traces, αρ, δω̣, ζ̣ήτημ̣α̣, τα, ντι̣α̣, εχ̣ο̣ν̣",issue
"
- - - - - -
&#60;:textus non legitur&#62;
+++ΘΩΙ 
++++ΕΙ 
++ΤΕΒ̣Η 
+ΕΚ̣ΙΣΟΝ 
Ε̣Ι̣ΠΟΝΑΝ 
++ΕΙ̣ΣΘΩ++",...,Greek,",,, θωι, ει, τεβ̣η, εκ̣ισον, ε̣ι̣ποναν, ει̣σθω",...
"&#60;:textus non legitur&#62;
&#60;:textus non legitur&#62;
χ+++θ+
κο[---]
τα+[---]
τ++[---]",",, kth, kotheatro, ta, ti",Greek,",, χθ, κοθεατρο, τα, τι",",, kth, kotheatro, ta, ti"
ΗΚΑΙΑ+,era,Greek,ηκαια,era
"Λειοντισ[ ]  [ εὑ]=
ρὼν  μοιχο[---]
 κατέκτανε [---]","Leontis[kos?], finding an adulterer, killed [him].",Greek,"λειοντισ εὑ, ρὼν μοιχο, κατέκτανε να","liondis ὑ, ρὼn adulterous, conquer to"
"ΤΙΤ++[--]+ΗΝ++Ω+
+++ΤΟΝΜ++++ΟΥ 
++++++++++++++ΛΕ++Η 
+++++++++++ΑΝ ","titino, tonmo, lei, if",Greek,"τιτηνω, τονμου, λεη, αν ","titino, tonmo, lei, if"
"
 Ἀσίας  πρώτοις
 Ἐφεσίοις","(Text 1) ""To the first of Asia! (Text 2) To the Ephesians!”",Greek,", ἀσίας πρώτοις, ἐφεσίοις",", Asia first, Ephesians"
" τόπος
ΑΔ++ΙΣ ",place,Greek," τόπος, αδις ",place
[ὁ]  ἀ̣ν̣α̣γ̣εινώ̣σ̣[κων],"""The reader ...""",Greek,ὁ ἀ̣ν̣α̣γ̣εινώ̣σ̣κων,ὁ ἀ̣ν̣α̣γ̣εινώσ̣κον
"Ε+
Ν+Α 
Π (or Γ)
ΠΕ̣
Σ ","ε, на, π or γ, πε̣, s",Greek,"ε, να, π or γ, πε̣, σ ","ε, на, π or γ, πε̣, s"
"〚[---------]〛 [----]+ΑΠΕ+++[---]
++η̣ τὴν Βαιτη[ν] καὶ  ἀφανίσ[ῃ---]
 &#60;:vacat&#62; τὸ  ἔργ[ο]ν̣ τῷ̣  δήμῳ̣ [---]
[ἐ]ὰν δὲ καὶ  καταπείνῃ μηδὲν[---]
 &#60;:vacat&#62; ΜΗ[---]","say, let it be and destroy, the work of my city, and even if it humbles nothing, do not",Greek," ναπε, η̣ τὴν βαιτην καὶ ἀφανίσῃ, τὸ ἔργον̣ τῷ̣ δήμῳ̣ μου, ἐὰν δὲ καὶ καταπείνῃ μηδὲν, μηκατα","say, let it be and destroy, the work of my city, and even if it humbles nothing, do not"
"
- - - - - -

euseb++
euseb++
pit+++
er ",",,, euseb, euseb, pit, er",Greek,",,, euseb, euseb, pit, er ",",,, euseb, euseb, pit, er"
"+++ (δηνάρια)Δ 
γρ+++
αν+++
γρα++ α<sup>γ</sup>+
π̣αρατ̣++(δηνάρια) Γ ","dinariad, gr, an, gra ag, π̣araṭdinaria c",Greek," δηνάριαδ, γρ, αν, γρα αγ, π̣αρατ̣δηνάρια γ ","dinariad, gr, an, gra ag, π̣araṭdinaria c"
"ΚΑ̣ΤΑΧ̣
ΑΜ̣ΑΛ+","kạtạ, aṃal",Greek,"κα̣ταχ̣, αμ̣αλ","kạtạ, aṃal"
"ΩΔΙ 
ΝΩΖ 
ΟΥ+
 μιμοῦ
Ν++ΥΩ ","odi, noz, o, mimo, nyo",Greek,"ωδι, νωζ, ου, μιμοῦ, νυω ","odi, noz, o, mimo, nyo"
"
ΝΦ",", nf",Greek,", νφ",", nf"
ΟΥΔΕΝΝΟΣ ,“No one’s (place)”?,Greek,ουδεννος ,none
ΔΟ̣,dọ,Greek,δο̣,dọ
"
ζητη 
ΛΥΚΟ ",", ask, wolf",Greek,", ζητη, λυκο ",", ask, wolf"
" Ἀσία
 Ἀσία","asia, asia",Greek," ἀσία, ἀσία","asia, asia"
[---]ΛΧΙΘΑΙ ,newline is available,Greek,newlineλχιθαι ,newline is available
 ὁ  καὶ  πυγίσε τὸν  ἀναγινό<sup>σ</sup>κοντα,“And bugger the reader also.”,Greek, ὁ καὶ πυγίσε τὸν ἀναγινόσκοντα,and he chased away the reprobate
Ἡρακλείδης,Heraklides,Greek,ἡρακλείδης,Heraklides
ΥΦΑΜΤ ,fabric,Greek,υφαμτ ,fabric
" &#60;:vacat&#62; ΕΝΗΣ
 &#60;:vacat&#62; ΣΑ++ΠΙ
 &#60;:vacat&#62; Μ++Μ
&#60;:textus non legitur&#62; Π
&#60;:textus non legitur&#62;
 &#60;:vacat&#62; ΝΙΚΛΑΠΑΝ ","enis, sapi, mm, p,, niklapan",Greek," ενης, σαπι, μμ, π,, νικλαπαν ","enis, sapi, mm, p,, niklapan"
 [---]++  ἐπ’  ἀφροδισίας,. on Venus,Greek,. ἐπ’ ἀφροδισίας,. on Venus
κρόκης ,yolk,Greek,κρόκης ,yolk
"Ὀνήσιμε, μὴ  κλίδισ̣ο̣ν
καὶ  μία̣ι̣ν̣ε τὴν ὑπὸ  θεῶν
 ἐκτημέν̣η̣ν Βαιτην
ἐὰν δ̣ὲ̣ καὶ  καταπείνῃ
- - - - - -","""Οnesimos, do not lock up and pollute the Baite possessed by the gods; but if he also consumes...""",Greek,"ὀνήσιμε, μὴ κλίδισ̣ο̣ν, καὶ μία̣ι̣ν̣ε τὴν ὑπὸ θεῶν, ἐκτημέν̣η̣ν βαιτην, ἐὰν δ̣ὲ̣ καὶ καταπείνῃ,  ","let's be united, don't cry, and let's be together under the gods, spread out, even if it is humbled,"
" ἐπύγισα  καὶ  γω
 ἐπύγισα","I escaped too, I escaped",Greek," ἐπύγισα καὶ γω, ἐπύγισα","I escaped too, I escaped"
ΔΗ̣ ΛΙΚΙΟ ,of age,Greek,δη̣ λικιο ,of age
"+ Ω ++
ΜΟΥΣ 
ΑΔΕΛΦ 
ΤΗΣΜ 
ΤΡΟΣ +
+ΟΝΑ 
ΑΡΑ+","oh, mus, brother, tsm, tros, ona, ara",Greek," ω, μους, αδελφ, τησμ, τρος, ονα, αρα","oh, mus, brother, tsm, tros, ona, ara"
"ΟΣ 
 [---]+ΝΗΡΘΗ","as, came",Greek,"ος, ηνηρθη","as, came"
"ὁ  ἀναγεινώ<sup>σ</sup>=
κων τὸν  θεὸν
σοι  ὀρχῆσαι
ΛΕ+Ν̣ΩΔΕΣ ὀρχη ",“Reader: May the god make you dance … (?)”,Greek,"ὁ ἀναγεινώσ, κων τὸν θεὸν, σοι ὀρχῆσαι, λεν̣ωδες ὀρχη ","the anageneos, kon tịn tẽn, soi ὀῆσαι, lenodes ὀὸν"
"Τρύφ[ω]ν
 Ἐφέσιος
 ἐποίει",“Tryphon the Ephesian made (this).”,Greek,"τρύφων, ἐφέσιος, ἐποίει","Tryphon, Ephesian, poet"
" εὐφήμει
 τοῦ  παιδίου
 τόπος
 διὰ  θεόν
 παίδω̣ν
 δή̣μο̣υ̣
III 
ΑΥ̣Ρ[-]Λ̣[--]Υ̣","eufimei, of the child, place, by God, children, δι̣μο̣υ̣, iii, αυ̣ρλ̣υ̣",Greek," εὐφήμει, τοῦ παιδίου, τόπος, διὰ θεόν, παίδω̣ν, δή̣μο̣υ̣, iii, αυ̣ρλ̣υ̣","eufimei, of the child, place, by God, children, δι̣μο̣υ̣, iii, αυ̣ρλ̣υ̣"
" φιλῶ  ἧς [---]ΤΩΝ 
 ὁ  ἀριθμὸ̣[ς] [---]+HN+[---]
ψλα [-------]+[---]",“I love a (woman) whose number is 731.”,Greek," φιλῶ ἧς /των, ὁ ἀριθμὸ̣ς τωνhnων, ψλα,",kiss ἧς /τον
"Ζ[-]Τ[--]+ΟΑΝΑ 
Π++ΣΑΜΕΝΟΣ 
[-]+ ζήτημα
[-]+ΓΕΤΡ+ΦΟΡ+
[-]+Ω+++Τ++","ztoana, psamenos, issue, getrfor, ot",Greek,"ζτοανα, πσαμενος, ζήτημα, γετρφορ, ωτ","ztoana, psamenos, issue, getrfor, ot"
"Φοῦσ =
κος  δ[ι]- 
κάζων
ΛΑΡΙΑ ","Fuss, Mr. Dikazon, Larisa",Greek,"φοῦσ, κος δι, κάζων, λαρια ","Fuss, Mr. Dikazon, Larisa"
Π̣αρθένα Ζ̣μυρνιαία (:Σ̣μυρναία)++,virgin ẓmyrneaia ẓmyrnea,Greek,π̣αρθένα ζ̣μυρνιαία σ̣μυρναία,virgin ẓmyrneaia ẓmyrnea
"ΑΠΟΛΟΛΕΙ 
 ζήτημα","sorry, question",Greek,"απολολει, ζήτημα","sorry, question"
"[-------]++Α
[-----]++ΕΝΗ
[---]Σ̣ΑΠ̣ΑΤΡΟΣ
Ε̣Π̣Ε̣Θ̣Η̣+Η
&#60;:textus non legitur&#62; Ι ΤΩ
&#60;:textus non legitur&#62; Ι ΡΑ ","α, ενη, ισ̣απ̣ατρος, ε̣π̣ε̣θ̣η̣η, ι τω, ι ρα",Greek,"α, ενη, ισ̣απ̣ατρος, ε̣π̣ε̣θ̣η̣η, ι τω, ι ρα ","α, ενη, ισ̣απ̣ατρος, ε̣π̣ε̣θ̣η̣η, ι τω, ι ρα"
" [ὀφθα]λμοὺς +[---]
[---]  [ε]ὐχαρειστῶ  τῇ [Βαίτῃ] [---]
[--]   ̣θ̣ειῶδ’  ἀγῶνα σ++
[--]  ὑγείᾳ","My eyes, let me be grateful to my presence,",Greek," ὀφθαλμοὺς μου, να εὐχαρειστῶ τῇ βαίτῃ μου, ̣θ̣ειῶδ’ ἀγῶνα σ, ὑγείᾳ","My eyes, let me be grateful to my presence,"
" ὁ̣φ̣θ̣αλμούς
Α++Ε
+++++ισα","ὁ̣φ̣θ̣almous, ae, isa",Greek," ὁ̣φ̣θ̣αλμούς, αε, ισα","ὁ̣φ̣θ̣almous, ae, isa"
"
- - - - - -
+[-]+ΠΟΤΑΙ 
Ι̣ΔΕΙΝ 
ΔΕΣΟΥ++
+++++Ν ",",, potai, ι̣din, tie, n",Greek,",, ποται, ι̣δειν, δεσου, ν ",",, potai, ι̣din, tie, n"
"Χαρίας  ὁ  κα[ὶ] Λ̣ου =
κος  εὐξάμενος
 περὶ  τῶν  ὀφθα̣λ̣μῶν
 τοὺς  λύχνους  ἀπέδωκε
 ἔτους σι","“Charias also called Louk(i?)os, having prayed concerning his eyes, dedicated the lamps. Year
                    210.”",Greek,"χαρίας ὁ καὶ λ̣ου, κος εὐξάμενος, περὶ τῶν ὀφθα̣λ̣μῶν, τοὺς λύχνους ἀπέδωκε, ἔτους σι","of joy, and say, glorious lord, about the eyes, the lamps he gave, years si"
